DateTime,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLUME_AHT,AMOUNT_AHT,AMT,CHG,PCT_CHG,SWING,VWAP
2016-04-22,3142.5611,3175.3799,3137.9927,3174.9012,7707849200,NaN,NaN,82442921903,14.2979,0.452379,1.182913,10.69597
2016-04-25,3164.7384,3172.2694,3137.113,3162.0331,6751935100,NaN,NaN,74734848036,-12.8681,-0.405307,1.107323,11.068656
2016-04-26,3159.7706,3181.0954,3150.4041,3179.1605,5902073400,NaN,NaN,68871554173,17.1274,0.541658,0.970619,11.669044
2016-04-27,3181.9305,3188.8264,3162.6914,3165.9156,6000414700,NaN,NaN,70620405995,-13.2449,-0.416616,0.822072,11.769254
2016-04-28,3169.3333,3174.7662,3135.6425,3160.5809,6987066000,NaN,NaN,78876767222,-5.3347,-0.168504,1.235778,11.288968
2016-04-29,3153.5371,3171.2887,3149.3966,3156.7451,5802977600,NaN,NaN,70807704222,-3.8358,-0.121364,0.692661,12.201961
2016-05-03,3159.823,3218.485,3151.4045,3213.5397,9816483500,NaN,NaN,1.16E+11,56.7946,1.799151,2.124989,11.789748
2016-05-04,3203.4653,3222.8816,3198.2919,3209.4614,9086240800,NaN,NaN,97797134813,-4.0783,-0.12691,0.76519,10.763212
2016-05-05,3204.1686,3217.282,3196.5661,3213.9199,7473368100,NaN,NaN,83946496908,4.4585,0.138917,0.645463,11.232753
2016-05-06,3213.1358,3216.893,3130.1469,3130.3544,10868024000,NaN,NaN,1.19E+11,-83.5655,-2.600111,2.699075,10.973956
2016-05-09,3115.4301,3115.4301,3055.0057,3065.6154,9923047700,NaN,NaN,1.00E+11,-64.739,-2.068104,1.930273,10.118788
2016-05-10,3055.2119,3084.7245,3055.1831,3069.1124,6884993500,NaN,NaN,70650764147,3.497,0.114072,0.963637,10.261559
2016-05-11,3080.6361,3102.8768,3063.0883,3082.8086,8179425800,NaN,NaN,87323408342,13.6962,0.446259,1.296417,10.675983
2016-05-12,3059.3831,3095.3489,3035.0228,3090.1372,7876572600,NaN,NaN,81418792606,7.3286,0.237725,1.956855,10.33683
2016-05-13,3081.6797,3103.0955,3064.691,3074.9351,6262975500,NaN,NaN,65850995649,-15.2021,-0.491956,1.242809,10.514331
2016-05-16,3064.5261,3095.5554,3053.6619,3095.3085,5946185600,NaN,NaN,64405200020,20.3734,0.662564,1.362419,10.831347
2016-05-17,3095.5229,3105.2013,3073.459,3086.0249,6527812500,NaN,NaN,75389385458,-9.2836,-0.299925,1.025497,11.548951
2016-05-18,3071.5292,3072.6122,3039.4618,3068.0358,8271536900,NaN,NaN,88458847115,-17.9891,-0.582921,1.07421,10.694366
2016-05-19,3060.3426,3086.977,3058.145,3062.5002,6044416600,NaN,NaN,68679060392,-5.5356,-0.180428,0.939754,11.362397
2016-05-20,3047.7778,3078.5316,3041.5169,3078.2183,5608084200,NaN,NaN,65124251092,15.7181,0.513244,1.208643,11.612567
2016-05-23,3078.515,3098.4782,3076.5039,3087.2225,5969721600,NaN,NaN,70337514484,9.0042,0.292513,0.713864,11.782378
2016-05-24,3083.2441,3083.2571,3052.5905,3063.5556,5873438500,NaN,NaN,61106015446,-23.6669,-0.766608,0.993339,10.403789
2016-05-25,3079.7486,3089.1022,3054.8697,3059.2259,5665280300,NaN,NaN,63316562530,-4.3297,-0.141329,1.117411,11.176245
2016-05-26,3056.6004,3072.524,3027.444,3064.2111,6039298100,NaN,NaN,65985183919,4.9852,0.162956,1.473575,10.925969
2016-05-27,3059.732,3073.7562,3052.1793,3062.4993,6046875000,NaN,NaN,59371777079,-1.7118,-0.055864,0.704158,9.818588
2016-05-30,3056.3138,3075.2613,3037.6647,3066.7095,6309857900,NaN,NaN,63496565009,4.2102,0.137476,1.227644,10.063074
2016-05-31,3068.5964,3170.926,3068.5964,3169.5598,13886311100,NaN,NaN,1.51E+11,102.8503,3.353767,3.336788,10.902692
2016-06-01,3172.9619,3181.7926,3159.8175,3160.547,11314848200,NaN,NaN,1.32E+11,-9.0128,-0.284355,0.693317,11.639645
2016-06-02,3158.0259,3168.824,3151.0654,3167.0997,8600342700,NaN,NaN,97093625345,6.5527,0.207328,0.561884,11.289507
2016-06-03,3172.946,3201.7492,3162.088,3189.3255,10149178300,NaN,NaN,1.36E+11,22.2258,0.701771,1.252288,13.432814
2016-06-06,3192.7793,3197.2204,3168.554,3178.7883,7669375100,NaN,NaN,1.01E+11,-10.5372,-0.33039,0.898823,13.192239
2016-06-07,3182.4374,3186.6167,3168.1792,3177.0536,6892831400,NaN,NaN,88711618425,-1.7347,-0.054571,0.580017,12.870127
2016-06-08,3171.8134,3174.9719,3148.3517,3163.9864,7629177500,NaN,NaN,97682790861,-13.0672,-0.411299,0.83789,12.803843
2016-06-13,3134.0453,3145.6057,3065.7674,3066.3413,9297594700,NaN,NaN,1.14E+11,-97.6451,-3.086142,2.523345,12.271058
2016-06-14,3058.4433,3078.7494,3055.6553,3075.9834,6627945700,NaN,NaN,78622305350,9.6421,0.31445,0.753148,11.862243
2016-06-15,3043.9577,3128.6733,3042.2328,3116.3682,8739325700,NaN,NaN,1.06E+11,40.3848,1.312907,2.810174,12.148555
2016-06-16,3104.3619,3112.4755,3089.4777,3094.6748,8297470300,NaN,NaN,93496238871,-21.6934,-0.696112,0.737968,11.268041
2016-06-17,3096.0901,3131.0485,3096.0901,3110.3572,8540298500,NaN,NaN,97953389320,15.6824,0.506754,1.129631,11.469551
2016-06-20,3114.9064,3118.7254,3089.7127,3112.6744,6358714100,NaN,NaN,74647802462,2.3172,0.074499,0.932777,11.739449
2016-06-21,3124.8984,3155.4927,3097.9402,3106.3175,8796534500,NaN,NaN,1.07E+11,-6.3569,-0.204226,1.848973,12.190442
2016-06-22,3100.4496,3134.0608,3096.9919,3133.9611,6648711300,NaN,NaN,81348715848,27.6436,0.889915,1.193339,12.235261
